"Journey","Train ID","Lateness (mins)"
"04:32 from Northam C.S.D. to Eastleigh Works - Alstom (05:18)","W38488",""
"04:32 from Northam C.S.D. to Eastleigh Works - Alstom (05:18)","W38488",""
"04:54 from Basingstoke to London Waterloo Main (06:11)","Q25017","10"
"05:12 from London Waterloo Main to Shepperton (06:03)","Q01795","6"
"05:27 from Woking to Clapham Junction W (06:43)","Q01343","9"
"05:32 from Farnham C.S.D. to Woking (06:12)","Q23876","7"
"05:42 from Reading Platforms 4A4B to Clapham Junction W (06:53)","Q01474","7"
"06:11 from Bournemouth to Weymouth (07:09)","Q02485","8"
"06:12 from Reading Platforms 4A4B to Clapham Junction W (07:23)","Q01476","10"
"06:13 from Strawberry Hill C.S.D. to Staines (06:41)","Q02837","9"
"06:30 from Woking to Alton (07:10)","Q01002","5"
"06:33 from Staines to Clapham Junction W (07:13)","Q02312","11"
"06:33 from Weybridge B to Clapham Junction W (07:43)","Q02314","5"
"06:42 from Reading Platforms 4A4B to Clapham Junction W (07:53)","Q01478","8"
"06:44 from Staines to Weybridge B (07:07)","Q02310","13"
"06:46 from London Waterloo Main to Chessington South (07:20)","Q02040","5"
"06:50 from Salisbury to Chandlers Ford (07:55)","Q02289",""
"06:53 from Windsor  Eton Riverside to Clapham Junction W (07:48)","Q02417","6"
"06:57 from Wimbledon Park Depot Sidings to Dorking (07:33)","Q02599","8"
"07:02 from Clapham Junction W to Weybridge B (08:07)","Q02313","8"
"07:09 from Clapham Junction W to Clapham Junction W (06:55)","Q02830",""
"07:20 from Clapham Junction W to Clapham Junction W (07:07)","Q02626",""
"07:32 from Clapham Junction W to Weybridge B (08:37)","Q02315","8"
"07:37 from Guildford to London Waterloo Main (08:37)","Q01733","5"
"07:39 from Clapham Junction W to Clapham Junction W (07:25)","Q02834",""
"07:42 from Reading Platforms 4A4B to Clapham Junction W (08:53)","Q01482","16"
"07:45 from Fratton C.S.D. to Portsmouth Harbour (07:58)","Q02805","5"
"07:50 from Clapham Junction W to Clapham Junction W (07:37)","Q02627",""
"07:50 from Poole to London Waterloo Main (10:34)","Q25002","9"
"07:50 from Salisbury to Chandlers Ford (08:55)","Q02290",""
"07:53 from Windsor  Eton Riverside to Clapham Junction W (08:48)","Q02421","14"
"07:57 from Clapham Junction W to Clapham Junction W (07:44)","Q02557",""
"08:09 from Clapham Junction W to Clapham Junction W (07:55)","Q24328",""
"08:12 from Reading Platforms 4A4B to Clapham Junction W (09:23)","Q01484","8"
"08:20 from Clapham Junction W to Clapham Junction W (08:07)","Q02628",""
"08:23 from Windsor  Eton Riverside to Clapham Junction W (09:18)","Q02423","5"
"08:24 from London Waterloo Main to Dorking (09:11)","Q01085","8"
"08:42 from Reading Platforms 4A4B to Clapham Junction W (09:53)","Q01486","6"
"08:56 from Salisbury to Chandlers Ford (09:55)","Q02291",""
"09:03 from London Waterloo Main to Guildford (10:02)","Q01734","9"
"09:09 from Clapham Junction W to Clapham Junction W (08:55)","Q24329",""
"09:09 from London Waterloo Main to Guildford (10:20)","Q01556","10"
"09:12 from Reading Platforms 4A4B to Clapham Junction W (10:23)","Q01488","8"
"09:14 from Clapham Junction W to Clapham Junction W (09:02)","Q02889",""
"09:20 from Clapham Junction W to Clapham Junction W (09:07)","Q02630",""
"09:23 from Windsor  Eton Riverside to Clapham Junction W (10:18)","Q02427","6"
"09:28 from Guildford to London Waterloo Main (10:40)","Q01563","5"
"09:34 from Dorking to London Waterloo Main (10:25)","Q01093","5"
"09:39 from Clapham Junction W to Clapham Junction W (09:25)","Q02839",""
"09:42 from Reading Platforms 4A4B to Clapham Junction W (10:53)","Q01490","8"
"09:50 from Clapham Junction W to Clapham Junction W (09:37)","Q02631",""
"09:56 from Salisbury to Chandlers Ford (10:55)","Q24278",""
"10:09 from Clapham Junction W to Clapham Junction W (09:55)","Q24330",""
"10:12 from Reading Platforms 4A4B to Clapham Junction W (11:23)","Q01492","7"
"10:23 from Windsor  Eton Riverside to Clapham Junction W (11:18)","Q02431","6"
"10:33 from Weybridge B to Clapham Junction W (11:43)","Q02334","5"
